time / s, distance driven motor / mm, distance ultrasonic / mm, distance infrared / %
0.001,0,1182,100
0.119,7,1174,100
0.229,19,1166,100
0.339,29,1155,100
0.448,40,1147,100
0.554,51,1139,100
0.67,62,1135,100
0.78,73,1123,100
0.889,84,1114,100
0.999,95,1106,100
1.107,106,1099,100
1.214,117,1088,100
1.328,128,1076,100
1.437,139,1074,100
1.547,150,1066,100
1.658,161,1058,100
1.773,172,1046,100
1.879,183,1037,100
1.989,194,1032,100
2.099,205,1028,100
2.207,216,1024,98
2.312,227,1014,100
2.419,237,1007,100
2.527,248,1002,100
2.634,259,994,100
2.749,270,982,100
2.859,281,986,100
2.969,292,2550,99
3.078,303,2550,100
3.185,314,2550,100
3.291,325,2550,99
3.403,336,2550,100
3.513,346,2550,100
3.629,358,2550,100
3.738,369,2550,100
3.847,380,2550,99
3.953,391,2550,99
4.062,402,2550,99
4.17,413,2550,100
4.281,423,1437,100
4.389,434,2550,99
4.495,445,2550,100
4.61,456,2550,99
4.72,467,2550,100
4.829,478,2550,99
4.937,489,2550,98
5.047,500,2550,100
5.171,512,1353,98
5.28,523,1337,99
5.391,534,2498,98
5.499,545,2487,99
5.604,556,1360,95
5.717,567,2464,98
5.828,578,2457,98
5.94,589,2447,93
6.05,600,2434,98
6.159,611,2420,99
6.269,622,2413,98
6.379,633,2400,100
6.487,644,2390,95
6.598,655,2380,97
6.708,666,2370,99
6.819,677,2356,95
6.929,688,2343,94
7.039,699,2336,99
7.149,710,2326,94
7.259,722,2320,95
7.37,733,2306,97
7.479,743,2295,93
7.587,754,2283,92
7.698,765,2276,93
7.803,776,2261,93
7.916,787,2251,94
8.022,798,2243,95
8.128,808,2230,92
8.24,820,2223,94
8.349,831,2211,93
8.458,841,2199,94
8.568,852,2189,92
8.679,864,2176,94
8.788,874,2162,93
8.899,885,2155,92
9.01,896,2147,93
9.12,908,2132,93
9.229,919,2122,92
9.338,929,2112,94
9.447,940,2106,93
9.557,951,2093,91
9.669,963,2082,92
9.78,974,2072,92
9.888,985,2062,90
9.994,995,2051,93
10.103,1006,2041,92
10.218,1018,2028,91
10.323,1028,2018,90
10.433,1039,2009,93
10.54,1050,1997,89
10.652,1061,1984,91
10.759,1072,1974,92
10.869,1082,1965,90
10.979,1094,1955,92
11.089,1105,1942,91
11.196,1115,1929,90
11.308,1127,1919,90
11.418,1138,1911,91
11.528,1148,1900,91
11.637,1160,1885,92
11.748,1171,1879,92
11.857,1181,1864,89
11.962,1192,1856,91
12.069,1203,1848,89
12.179,1214,1830,88
12.284,1224,1821,87
