time / s, angle motors / °, distance ultrasonic / mm, distance infrared / %
0.034, 0, 1030, 73
0.144, 1, 1030, 73
0.255, 2, 1030, 73
0.365, 3, 1030, 74
0.477, 4, 1030, 75
0.588, 6, 1001, 76
0.7039999999999999, 7, 998, 75
0.8139999999999999, 9, 1002, 76
0.923, 10, 1000, 76
1.034, 11, 1002, 76
1.144, 12, 1008, 76
1.254, 14, 1020, 77
1.365, 15, 1020, 76
1.475, 16, 1007, 76
1.584, 18, 1006, 76
1.693, 19, 1006, 76
1.803, 20, 1000, 75
1.913, 21, 1000, 76
2.023, 23, 994, 76
2.134, 24, 994, 75
2.244, 26, 985, 77
2.352, 27, 985, 76
2.459, 28, 985, 76
2.571, 29, 992, 77
2.682, 31, 1001, 77
2.794, 32, 1037, 77
2.904, 33, 1036, 76
3.013, 35, 1030, 77
3.123, 36, 1022, 76
3.234, 37, 1007, 77
3.344, 39, 1007, 76
3.455, 40, 1001, 76
3.564, 41, 1001, 76
3.674, 42, 1008, 73
3.783, 44, 1014, 75
3.893, 45, 802, 74
4.003, 47, 792, 74
4.113, 48, 780, 74
4.223, 49, 780, 73
4.333, 50, 770, 72
4.443, 52, 764, 72
4.553, 53, 758, 71
4.658, 54, 757, 71
4.772, 56, 750, 70
4.882, 57, 750, 70
4.995, 58, 750, 69
5.105, 60, 750, 68
5.216, 61, 750, 68
5.326, 62, 750, 67
5.437, 64, 744, 66
5.548, 65, 740, 66
5.663, 66, 736, 66
5.775, 68, 736, 66
5.888, 69, 730, 64
5.995, 70, 728, 64
6.105, 71, 721, 64
6.215, 73, 553, 63
6.327, 74, 542, 62
6.437, 76, 525, 62
6.548, 77, 519, 61
6.659, 78, 509, 59
6.768, 80, 508, 59
6.882, 81, 500, 58
6.988, 82, 496, 57
7.102, 84, 490, 57
7.213, 85, 490, 56
7.326, 86, 483, 55
7.437, 88, 483, 55
7.553, 89, 481, 54
7.658, 90, 474, 54
7.774, 92, 475, 53
7.884, 93, 473, 53
7.993, 94, 473, 52
8.103, 96, 471, 52
8.215, 97, 471, 52
8.323, 98, 469, 52
8.436, 99, 464, 52
8.545, 101, 464, 52
8.654999999999999, 102, 460, 53
8.763999999999999, 104, 460, 53
8.874000000000001, 105, 464, 54
8.983000000000001, 106, 464, 55
9.093, 107, 462, 55
9.199, 109, 462, 57
9.316000000000001, 110, 462, 57
9.427, 111, 462, 59
9.538, 113, 460, 60
9.648999999999999, 114, 460, 62
9.757999999999999, 115, 464, 64
9.872999999999999, 117, 464, 64
9.984999999999999, 118, 462, 66
10.094, 119, 462, 67
10.204, 121, 464, 67
10.313, 122, 464, 69
10.423, 123, 471, 70
10.533, 125, 471, 70
10.644, 126, 475, 71
10.753, 127, 475, 71
10.876, 129, 479, 72
10.987, 130, 483, 72
11.097, 131, 488, 73
11.208, 133, 492, 74
11.317, 134, 511, 73
11.43, 135, 515, 75
11.543, 137, 515, 75
11.653, 138, 515, 76
11.763, 139, 515, 76
11.875, 141, 515, 76
11.983, 142, 515, 77
12.093, 143, 515, 78
12.203, 145, 515, 76
12.314, 146, 978, 77
12.424, 147, 986, 77
12.533, 149, 1014, 77
12.643, 150, 1023, 77
12.753, 151, 1028, 78
12.864, 153, 1014, 77
12.973, 154, 1008, 77
13.084, 155, 1008, 76
13.193, 157, 1015, 76
13.303, 158, 1022, 75
13.413, 159, 998, 75
13.522, 160, 998, 75
13.633, 162, 993, 75
13.743, 163, 1004, 74
13.853, 164, 1002, 74
13.963, 166, 998, 74
14.073, 167, 993, 74
14.182, 168, 994, 73
14.293, 170, 990, 73
14.404, 171, 992, 73
14.514, 172, 990, 73
14.624, 174, 990, 72
14.733, 175, 990, 73
14.844, 176, 985, 72
14.953, 177, 986, 72
15.063, 179, 986, 72
15.173, 180, 982, 72
15.283, 181, 977, 72
15.394, 183, 978, 71
15.504, 184, 971, 72
15.613, 185, 976, 71
15.723, 187, 977, 71
15.833, 188, 984, 71
15.944, 189, 984, 71
16.054, 191, 982, 71
16.167, 192, 773, 71
16.277, 194, 770, 71
16.387, 194, 766, 71
16.498, 196, 765, 71
16.608, 197, 765, 71
16.719, 199, 758, 72
16.833, 200, 758, 72
16.943, 201, 757, 72
17.054, 203, 772, 71
17.164, 204, 974, 72
17.273, 205, 985, 73
17.383, 206, 937, 73
17.495, 208, 855, 74
17.605, 209, 841, 73
17.713, 211, 835, 74
17.824, 212, 831, 74
17.934, 213, 824, 75
18.044, 214, 819, 76
18.154, 216, 818, 76
18.263, 217, 826, 76
18.369, 218, 834, 77
18.484, 220, 778, 79
18.594, 221, 794, 79
18.703, 222, 804, 79
18.813, 223, 814, 79
18.923, 225, 780, 81
19.033, 226, 821, 81
19.144, 228, 802, 82
19.255, 229, 780, 82
19.364, 230, 780, 82
19.474, 231, 778, 83
19.584, 233, 757, 84
19.693, 234, 750, 84
19.803, 235, 762, 84
19.915, 237, 762, 85
20.023, 238, 762, 83
20.133, 239, 762, 84
20.243, 241, 762, 82
20.353, 242, 744, 80
20.463, 243, 736, 81
20.572, 245, 736, 79
20.683, 246, 730, 77
20.793, 247, 728, 78
20.903, 249, 730, 76
21.02, 250, 732, 75
21.134, 251, 692, 73
21.243, 253, 677, 72
21.353, 254, 677, 71
21.465, 255, 674, 69
21.574, 256, 679, 68
21.684, 258, 519, 67
21.793, 259, 515, 66
21.904, 260, 504, 64
22.013, 262, 500, 63
22.123, 263, 500, 62
22.232, 264, 712, 61
22.345, 266, 712, 59
22.457, 267, 706, 58
22.567, 268, 706, 57
22.678, 270, 710, 56
22.788, 271, 483, 55
22.899, 272, 479, 54
23.014, 274, 479, 54
23.124, 275, 473, 53
23.233, 276, 446, 52
23.344, 278, 435, 51
23.454, 279, 429, 51
23.564, 280, 427, 50
23.674, 282, 427, 49
23.783, 283, 429, 49
23.893, 284, 428, 49
24.004, 286, 433, 48
24.113, 287, 425, 47
24.223, 288, 418, 47
24.334, 289, 412, 47
24.443, 291, 412, 46
24.553, 292, 410, 46
24.663, 294, 412, 46
24.773, 295, 412, 45
24.883, 296, 410, 45
24.993, 297, 403, 45
25.103, 299, 404, 45
25.212, 300, 401, 44
25.318, 301, 401, 44
25.433, 303, 399, 44
25.543, 304, 399, 44
25.653, 305, 397, 44
25.763, 307, 397, 44
25.873, 308, 397, 44
25.983, 309, 392, 44
26.098, 311, 392, 44
26.209, 312, 393, 45
26.323, 314, 393, 45
26.433, 315, 391, 45
26.543, 316, 391, 46
26.654, 317, 391, 46
26.763, 319, 389, 46
26.873, 320, 389, 47
26.984, 321, 384, 48
27.094, 323, 384, 49
27.203, 324, 384, 50
27.313, 325, 384, 50
27.423, 327, 385, 51
27.534, 328, 384, 52
27.643, 329, 389, 53
27.754, 331, 389, 54
27.864, 332, 393, 55
27.973, 333, 393, 57
28.083, 335, 397, 58
28.193, 336, 397, 59
28.304, 337, 401, 59
28.413, 338, 406, 59
28.518, 340, 410, 60
28.633, 341, 418, 61
28.744, 342, 418, 61
28.854, 344, 427, 62
28.961, 345, 424, 62
29.07400000000001, 346, 420, 63
29.184, 347, 424, 63
29.293, 349, 425, 64
29.403, 350, 429, 65
29.513, 352, 429, 67
29.623, 353, 429, 67
29.728, 354, 429, 68
29.843, 355, 429, 69
29.947, 357, 429, 69
30.062, 358, 429, 71
30.173, 359, 429, 72
30.285, 361, 429, 72
30.396, 362, 429, 73
30.507, 364, 429, 74
30.618, 365, 429, 74
30.733, 366, 1001, 75
30.844, 368, 1002, 75
30.953, 369, 1002, 76
31.063, 370, 1006, 76
31.179, 371, 1012, 76
31.293, 373, 1016, 76
31.402, 374, 1016, 77
31.513, 375, 1014, 76
31.624, 377, 1006, 76
31.733, 378, 1006, 76
31.844, 379, 1000, 76
31.954, 381, 1000, 76
32.064, 382, 1000, 76
32.174, 383, 993, 76
32.284, 385, 990, 75
32.394, 386, 990, 76
32.503, 388, 985, 76
32.613, 388, 985, 76
32.722, 390, 997, 76
32.828, 391, 1000, 76
32.943, 393, 1044, 77
33.05400000000001, 394, 1036, 77
