time / s, distance / mm, angle motors / °, angle gyro / °, distance infrared / %
0.18, 0, 8, 6, 83
0.366, 0, 19, 16, 84
0.5470000000000001, 0, 30, 27, 84
0.726, 0, 41, 38, 81
0.9050000000000001, 0, 52, 48, 75
1.086, 0, 63, 59, 66
1.266, 0, 73, 69, 60
1.446, 0, 84, 79, 55
1.625, 0, 95, 90, 48
1.805, 0, 106, 101, 38
1.985, 0, 117, 111, 39
2.169, 0, 128, 123, 46
2.349, 0, 138, 133, 67
2.535, 0, 150, 144, 75
2.716, 0, 160, 155, 77
2.895, 0, 171, 165, 76
3.075, 0, 182, 176, 72
3.255, 0, 193, 187, 73
3.436, 0, 204, 198, 76
3.615, 0, 214, 208, 81
3.795, 0, 225, 219, 86
3.975, 0, 236, 230, 92
4.155, 0, 247, 240, 100
4.335, 0, 258, 252, 100
4.515, 0, 268, 262, 88
4.696, 0, 279, 273, 76
4.876, 0, 290, 283, 66
5.058, 0, 301, 294, 63
5.247, 0, 312, 304, 61
5.427, 0, 323, 316, 64
5.606, 0, 334, 326, 69
5.786, 0, 345, 337, 72
5.965, 0, 356, 347, 77
6.145, 0, 366, 358, 82
6.325, 0, 377, 370, 84
6.505, 0, 388, 380, 85
18.066, 802, 391, 387, 37
18.257, 801, 399, 392, 32
18.437, 802, 410, 402, 24
18.617, 802, 421, 414, 17
18.796, 801, 432, 425, 13
18.975, 802, 443, 435, 11
19.159, 801, 453, 446, 9
19.338, 802, 464, 456, 8
19.516, 801, 475, 467, 10
19.695, 801, 486, 477, 13
19.877, 801, 497, 488, 16
20.055, 802, 507, 499, 25
20.235, 802, 518, 510, 36
20.415, 802, 529, 519, 51
20.595, 801, 540, 530, 59
27.775, 1166, 543, 539, 35
27.958, 1165, 551, 544, 37
28.146, 1166, 562, 553, 56
28.325, 1165, 573, 565, 88
28.505, 1165, 584, 576, 100
28.685, 1165, 594, 586, 100
28.865, 1165, 605, 597, 100
29.047, 1165, 616, 608, 100
29.225, 1165, 627, 619, 98
29.405, 1165, 638, 629, 88
38.734, 1744, 641, 638, 35
38.915, 1744, 649, 642, 34
39.095, 1744, 660, 653, 31
39.277, 1744, 671, 664, 27
39.45600000000001, 1744, 681, 674, 28
40.886, 1694, 684, 679, 36
41.07600000000001, 1694, 692, 685, 37
41.266, 1694, 703, 695, 43
41.446, 1694, 714, 707, 52
41.626, 1694, 725, 717, 62
41.80700000000001, 1694, 736, 728, 63
41.988, 1694, 747, 739, 63
42.175, 1694, 758, 750, 67
42.35600000000001, 1694, 768, 761, 71
42.545, 1694, 780, 772, 70
42.725, 1694, 791, 782, 68
50.126, 2080, 794, 790, 35
50.315, 2080, 802, 794, 34
50.495, 2080, 813, 802, 33
50.67600000000001, 2080, 824, 813, 33
50.856, 2080, 834, 824, 36
51.036, 2080, 845, 834, 40
51.21500000000001, 2080, 856, 845, 44
51.39600000000001, 2080, 867, 856, 50
51.57500000000001, 2080, 878, 866, 52
51.757, 2080, 888, 877, 54
51.936, 2080, 899, 888, 62
52.11600000000001, 2080, 910, 899, 88
52.29500000000001, 2080, 921, 909, 97
52.476, 2080, 932, 919, 100
66.88700000000001, 3167, 935, 927, 35
67.075, 3166, 942, 931, 36
67.256, 3167, 953, 942, 43
67.43600000000001, 3167, 964, 953, 55
67.615, 3167, 975, 963, 72
67.79500000000001, 3167, 986, 973, 80
67.97700000000001, 3166, 997, 984, 87
68.155, 3166, 1008, 994, 88
68.33600000000001, 3166, 1018, 1004, 74
68.51500000000001, 3166, 1029, 1015, 62
68.696, 3167, 1040, 1026, 53
73.64700000000001, 3307, 1043, 1032, 38
73.845, 3307, 1051, 1037, 40
74.027, 3307, 1062, 1047, 42
74.20500000000001, 3307, 1073, 1059, 53
74.38500000000001, 3307, 1084, 1069, 61
74.56600000000001, 3307, 1095, 1080, 78
74.756, 3307, 1106, 1091, 94
74.93500000000001, 3307, 1117, 1101, 100
75.116, 3307, 1128, 1112, 100
89.41500000000001, 4384, 1131, 1120, 36
89.596, 4383, 1138, 1124, 34
89.77600000000001, 4384, 1150, 1135, 27
89.955, 4384, 1161, 1147, 23
90.13500000000001, 4384, 1171, 1156, 21
90.31600000000001, 4384, 1182, 1167, 20
90.49800000000001, 4384, 1193, 1177, 21
90.685, 4384, 1204, 1188, 24
90.86600000000001, 4384, 1215, 1199, 29
91.045, 4384, 1226, 1210, 35
91.225, 4384, 1237, 1220, 40
91.40500000000001, 4384, 1247, 1231, 42
95.646, 4453, 1251, 1239, 36
95.82700000000001, 4453, 1258, 1243, 37
96.01500000000001, 4453, 1270, 1252, 43
96.196, 4453, 1280, 1262, 57
96.37700000000001, 4453, 1291, 1273, 86
96.55700000000001, 4453, 1303, 1285, 95
110.445, 5487, 1306, 1292, 37
110.627, 5487, 1313, 1296, 41
110.807, 5488, 1324, 1306, 45
110.986, 5488, 1335, 1317, 57
111.166, 5487, 1346, 1328, 76
111.345, 5488, 1357, 1339, 85
111.528, 5487, 1368, 1350, 91
111.715, 5488, 1379, 1361, 78
111.896, 5487, 1390, 1371, 68
112.078, 5487, 1401, 1382, 58
117.635, 5689, 1404, 1390, 36
117.819, 5688, 1411, 1394, 37
118.006, 5689, 1423, 1405, 42
118.185, 5689, 1434, 1416, 51
118.366, 5689, 1445, 1427, 62
118.555, 5689, 1456, 1438, 79
118.735, 5689, 1467, 1449, 93
118.915, 5689, 1477, 1459, 100
119.096, 5689, 1488, 1470, 100
119.276, 5689, 1499, 1481, 98
119.46, 5689, 1510, 1492, 92
119.637, 5689, 1521, 1502, 82
119.825, 5689, 1532, 1513, 80
120.005, 5689, 1543, 1524, 78
120.186, 5689, 1554, 1535, 80
131.646, 6480, 1557, 1541, 35
131.825, 6480, 1564, 1546, 36
132.005, 6480, 1575, 1555, 38
132.186, 6480, 1586, 1567, 43
132.368, 6480, 1597, 1579, 44
132.546, 6480, 1608, 1589, 42
132.728, 6480, 1619, 1600, 38
136.667, 6520, 1623, 1608, 34
136.857, 6519, 1630, 1612, 34
137.036, 6520, 1641, 1623, 34
137.215, 6520, 1652, 1633, 39
137.396, 6520, 1663, 1644, 42
137.576, 6520, 1673, 1655, 49
137.758, 6520, 1684, 1665, 59
137.936, 6520, 1695, 1676, 66
138.117, 6519, 1706, 1687, 67
138.295, 6520, 1717, 1698, 73
138.476, 6520, 1727, 1708, 98
138.656, 6520, 1738, 1719, 100
138.836, 6519, 1749, 1730, 100
139.015, 6520, 1760, 1740, 100
151.396, 7404, 1763, 1748, 36
151.586, 7404, 1770, 1752, 36
151.766, 7404, 1782, 1764, 41
151.945, 7404, 1792, 1774, 49
152.125, 7404, 1803, 1785, 63
152.305, 7404, 1814, 1795, 73
152.487, 7404, 1825, 1806, 84
152.667, 7404, 1836, 1817, 87
152.846, 7404, 1846, 1828, 88
153.026, 7404, 1857, 1839, 86
153.205, 7404, 1868, 1849, 81
153.385, 7404, 1878, 1860, 77
162.195, 7931, 1882, 1866, 35
162.377, 7931, 1889, 1870, 34
162.565, 7931, 1901, 1881, 32
162.745, 7931, 1911, 1891, 33
162.926, 7931, 1922, 1903, 32
163.105, 7931, 1933, 1913, 28
163.295, 7931, 1945, 1925, 21
163.475, 7931, 1956, 1935, 21
163.656, 7931, 1966, 1946, 32
163.836, 7931, 1977, 1956, 63
164.025, 7931, 1989, 1967, 80
164.205, 7931, 1999, 1978, 79
164.385, 7931, 2010, 1988, 82
176.656, 8805, 2013, 2033, 33
176.839, 8804, 2021, 2038, 34
177.025, 8805, 2032, 2049, 42
177.205, 8804, 2043, 2059, 53
177.386, 8805, 2054, 2070, 91
177.565, 8805, 2065, 2081, 92
177.746, 8805, 2076, 2092, 82
177.925, 8805, 2086, 2102, 79
178.105, 8804, 2097, 2113, 82
178.286, 8805, 2108, 2124, 89
178.466, 8805, 2119, 2135, 95
178.646, 8805, 2130, 2145, 100
195.185, 10104, 2133, 2152, 36
195.369, 10104, 2141, 2156, 36
195.555, 10105, 2152, 2168, 41
195.735, 10105, 2163, 2178, 42
195.916, 10104, 2174, 2189, 49
196.095, 10104, 2185, 2200, 52
196.276, 10104, 2195, 2211, 51
196.456, 10105, 2206, 2221, 49
196.636, 10104, 2217, 2232, 48
196.814, 10104, 2228, 2242, 49
196.995, 10104, 2238, 2253, 52
197.175, 10105, 2249, 2263, 56
197.355, 10105, 2260, 2274, 62
197.536, 10104, 2271, 2285, 66
205.335, 10530, 2274, 2292, 37
205.516, 10530, 2281, 2295, 36
205.695, 10530, 2292, 2305, 40
205.875, 10530, 2303, 2316, 49
206.056, 10530, 2314, 2327, 82
206.236, 10530, 2325, 2338, 89
206.417, 10530, 2336, 2349, 95
206.6, 10530, 2347, 2360, 100
206.785, 10530, 2358, 2371, 100
206.966, 10530, 2369, 2382, 100
207.155, 10530, 2380, 2393, 100
207.335, 10530, 2391, 2403, 85
207.515, 10530, 2402, 2414, 77
207.695, 10530, 2413, 2425, 71
207.875, 10530, 2423, 2435, 66
208.055, 10530, 2434, 2446, 64
208.236, 10530, 2445, 2457, 64
208.417, 10530, 2456, 2468, 69
216.935, 11028, 2460, 2475, 36
217.117, 11027, 2467, 2479, 35
217.296, 11028, 2478, 2490, 28
217.475, 11028, 2489, 2500, 26
217.655, 11028, 2499, 2511, 25
217.835, 11028, 2510, 2521, 28
218.016, 11028, 2521, 2532, 32
218.195, 11028, 2532, 2543, 43
218.375, 11028, 2543, 2553, 44
218.555, 11027, 2553, 2563, 48
218.735, 11028, 2564, 2575, 47
218.915, 11027, 2575, 2586, 46
219.096, 11027, 2586, 2596, 47
219.277, 11027, 2597, 2607, 50
224.945, 11239, 2600, 2615, 37
225.126, 11239, 2608, 2619, 39
225.306, 11239, 2619, 2629, 42
225.485, 11239, 2630, 2640, 50
225.667, 11239, 2641, 2650, 59
232.637, 11582, 2644, 2657, 36
232.818, 11582, 2651, 2661, 35
233.005, 11582, 2663, 2673, 37
233.185, 11582, 2673, 2684, 44
233.366, 11582, 2684, 2694, 79
233.545, 11582, 2695, 2705, 95
233.727, 11582, 2706, 2716, 100
233.906, 11582, 2717, 2727, 100
249.536, 12791, 2720, 2760, 53
249.725, 12791, 2728, 2762, 53
249.907, 12791, 2739, 2774, 57
250.085, 12791, 2749, 2784, 57
250.267, 12791, 2760, 2795, 39
250.445, 12791, 2771, 2805, 25
250.627, 12791, 2782, 2816, 20
250.806, 12791, 2792, 2826, 18
250.986, 12791, 2803, 2837, 21
251.166, 12791, 2814, 2848, 30
251.349, 12791, 2825, 2858, 43
251.529, 12791, 2836, 2869, 65
251.715, 12791, 2847, 2880, 84
251.895, 12791, 2858, 2891, 99
252.076, 12791, 2869, 2902, 100
252.261, 12791, 2880, 2914, 100
252.445, 12791, 2891, 2924, 93
262.665, 13459, 2894, 2932, 37
262.85, 13459, 2902, 2936, 34
263.035, 13459, 2913, 2946, 32
263.215, 13459, 2924, 2956, 41
263.395, 13459, 2935, 2967, 50
263.575, 13459, 2946, 2978, 61
263.759, 13459, 2957, 2988, 66
273.287, 14058, 2960, 2996, 34
273.466, 14057, 2968, 2999, 35
273.646, 14058, 2979, 3011, 37
273.825, 14057, 2989, 3021, 34
274.005, 14057, 3000, 3032, 32
274.185, 14057, 3011, 3043, 32
277.607, 14045, 3014, 3050, 35
277.788, 14045, 3022, 3054, 37
277.975, 14045, 3033, 3065, 42
278.155, 14045, 3044, 3075, 47
278.335, 14045, 3055, 3086, 58
278.525, 14045, 3066, 3098, 64
278.707, 14045, 3077, 3109, 74
278.887, 14045, 3088, 3119, 78
279.066, 14045, 3099, 3129, 98
279.247, 14045, 3109, 3140, 100
279.426, 14045, 3121, 3151, 100
292.406, 14990, 3124, 3158, 36
292.589, 14989, 3131, 3162, 37
